Plot_ID,german,timestamp,conf,int01_avgconf,int01_medconf,int01_maxconf,int01_minconf,int01_ndets10,int01_ndets20,int01_ndets30,int01_ndets40,int01_ndets50,int01_ndets60,int01_ndets70,int01_ndets80,int01_ndets90,int01_ndets99,int02_avgconf,int02_medconf,int02_maxconf,int02_minconf,int02_ndets10,int02_ndets20,int02_ndets30,int02_ndets40,int02_ndets50,int02_ndets60,int02_ndets70,int02_ndets80,int02_ndets90,int02_ndets99,int03_avgconf,int03_medconf,int03_maxconf,int03_minconf,int03_ndets10,int03_ndets20,int03_ndets30,int03_ndets40,int03_ndets50,int03_ndets60,int03_ndets70,int03_ndets80,int03_ndets90,int03_ndets99,int04_avgconf,int04_medconf,int04_maxconf,int04_minconf,int04_ndets10,int04_ndets20,int04_ndets30,int04_ndets40,int04_ndets50,int04_ndets60,int04_ndets70,int04_ndets80,int04_ndets90,int04_ndets99,int05_avgconf,int05_medconf,int05_maxconf,int05_minconf,int05_ndets10,int05_ndets20,int05_ndets30,int05_ndets40,int05_ndets50,int05_ndets60,int05_ndets70,int05_ndets80,int05_ndets90,int05_ndets99,int06_avgconf,int06_medconf,int06_maxconf,int06_minconf,int06_ndets10,int06_ndets20,int06_ndets30,int06_ndets40,int06_ndets50,int06_ndets60,int06_ndets70,int06_ndets80,int06_ndets90,int06_ndets99,int07_avgconf,int07_medconf,int07_maxconf,int07_minconf,int07_ndets10,int07_ndets20,int07_ndets30,int07_ndets40,int07_ndets50,int07_ndets60,int07_ndets70,int07_ndets80,int07_ndets90,int07_ndets99,int08_avgconf,int08_medconf,int08_maxconf,int08_minconf,int08_ndets10,int08_ndets20,int08_ndets30,int08_ndets40,int08_ndets50,int08_ndets60,int08_ndets70,int08_ndets80,int08_ndets90,int08_ndets99,int09_avgconf,int09_medconf,int09_maxconf,int09_minconf,int09_ndets10,int09_ndets20,int09_ndets30,int09_ndets40,int09_ndets50,int09_ndets60,int09_ndets70,int09_ndets80,int09_ndets90,int09_ndets99,int10_avgconf,int10_medconf,int10_maxconf,int10_minconf,int10_ndets10,int10_ndets20,int10_ndets30,int10_ndets40,int10_ndets50,int10_ndets60,int10_ndets70,int10_ndets80,int10_ndets90,int10_ndets99,int11_avgconf,int11_medconf,int11_maxconf,int11_minconf,int11_ndets10,int11_ndets20,int11_ndets30,int11_ndets40,int11_ndets50,int11_ndets60,int11_ndets70,int11_ndets80,int11_ndets90,int11_ndets99,int12_avgconf,int12_medconf,int12_maxconf,int12_minconf,int12_ndets10,int12_ndets20,int12_ndets30,int12_ndets40,int12_ndets50,int12_ndets60,int12_ndets70,int12_ndets80,int12_ndets90,int12_ndets99,detID
1790,Grauspecht,2021-04-04T00:10:09Z,0.46,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.46,0.46,0.46,0.46,1,1,1,1,0,0,0,0,0,0,0.171298701298701,0.12,0.91,0.1,77,10,7,6,4,3,3,3,1,0,0.174308943089431,0.12,0.98,0.1,123,17,11,9,7,5,4,4,2,0,0.166808510638298,0.12,0.98,0.1,141,17,11,9,7,5,4,4,2,0,0.163970588235294,0.12,0.98,0.1,204,25,14,12,9,7,5,5,2,0,1790_20210404_001000_9
1790,Grauspecht,2021-04-13T12:00:06Z,0.83,0.83,0.83,0.83,0.83,1,1,1,1,1,1,1,1,0,0,0.83,0.83,0.83,0.83,1,1,1,1,1,1,1,1,0,0,0.83,0.83,0.83,0.83,1,1,1,1,1,1,1,1,0,0,0.83,0.83,0.83,0.83,1,1,1,1,1,1,1,1,0,0,0.3325,0.185,0.83,0.13,4,2,1,1,1,1,1,1,0,0,0.3325,0.185,0.83,0.13,4,2,1,1,1,1,1,1,0,0,0.3325,0.185,0.83,0.13,4,2,1,1,1,1,1,1,0,0,0.286,0.16,0.83,0.1,5,2,1,1,1,1,1,1,0,0,0.13183908045977,0.12,0.83,0.1,87,2,1,1,1,1,1,1,0,0,0.136020408163265,0.12,0.93,0.1,196,11,2,2,2,2,2,2,1,0,0.13434628975265,0.12,0.93,0.1,283,13,2,2,2,2,2,2,1,0,0.132386706948641,0.12,0.93,0.1,331,14,2,2,2,2,2,2,1,0,1790_20210413_120000_6
1853,Grauspecht,2021-04-04T07:40:24Z,0.96,0.535,0.535,0.96,0.11,2,1,1,1,1,1,1,1,1,0,0.535,0.535,0.96,0.11,2,1,1,1,1,1,1,1,1,0,0.535,0.535,0.96,0.11,2,1,1,1,1,1,1,1,1,0,0.535,0.535,0.96,0.11,2,1,1,1,1,1,1,1,1,0,0.223,0.13,0.96,0.11,10,2,1,1,1,1,1,1,1,0,0.178888888888889,0.12,0.96,0.1,18,2,1,1,1,1,1,1,1,0,0.172,0.12,0.96,0.1,20,2,1,1,1,1,1,1,1,0,0.172,0.12,0.96,0.1,20,2,1,1,1,1,1,1,1,0,0.129333333333333,0.12,0.96,0.1,135,3,1,1,1,1,1,1,1,0,0.131467889908257,0.12,0.96,0.1,218,6,2,1,1,1,1,1,1,0,0.130526315789474,0.12,0.96,0.1,266,6,2,1,1,1,1,1,1,0,0.132137203166227,0.12,0.96,0.1,379,9,2,1,1,1,1,1,1,0,1853_20210404_074000_24
1877,Grauspecht,2021-04-12T19:20:21Z,0.63,0.306666666666667,0.17,0.63,0.12,3,1,1,1,1,1,0,0,0,0,0.306666666666667,0.17,0.63,0.12,3,1,1,1,1,1,0,0,0,0,0.306666666666667,0.17,0.63,0.12,3,1,1,1,1,1,0,0,0,0,0.26,0.145,0.63,0.12,4,1,1,1,1,1,0,0,0,0,0.19125,0.125,0.63,0.1,8,1,1,1,1,1,0,0,0,0,0.174666666666667,0.14,0.63,0.1,15,2,1,1,1,1,0,0,0,0,0.166,0.14,0.63,0.1,20,2,1,1,1,1,0,0,0,0,0.164761904761905,0.14,0.63,0.1,21,2,1,1,1,1,0,0,0,0,0.12877094972067,0.12,0.63,0.1,179,5,2,1,1,1,0,0,0,0,0.127537993920973,0.12,0.63,0.1,329,9,3,2,2,2,0,0,0,0,0.125780141843972,0.12,0.63,0.1,564,13,3,2,2,2,0,0,0,0,0.126453333333333,0.12,0.68,0.1,750,14,4,3,3,3,0,0,0,0,1877_20210412_192000_21
372,Grauspecht,2021-04-04T06:20:06Z,0.6,0.38,0.38,0.6,0.16,2,1,1,1,1,1,0,0,0,0,0.38,0.38,0.6,0.16,2,1,1,1,1,1,0,0,0,0,0.38,0.38,0.6,0.16,2,1,1,1,1,1,0,0,0,0,0.38,0.38,0.6,0.16,2,1,1,1,1,1,0,0,0,0,0.206666666666667,0.135,0.6,0.1,6,1,1,1,1,1,0,0,0,0,0.160909090909091,0.11,0.6,0.1,11,1,1,1,1,1,0,0,0,0,0.155833333333333,0.11,0.6,0.1,12,1,1,1,1,1,0,0,0,0,0.155,0.11,0.6,0.1,14,1,1,1,1,1,0,0,0,0,0.1536,0.12,0.85,0.1,75,6,4,3,3,3,2,2,0,0,0.152721088435374,0.12,0.9,0.1,147,10,7,6,6,6,5,5,1,0,0.153419689119171,0.12,0.9,0.1,193,14,9,8,8,8,7,6,1,0,0.163582677165354,0.12,0.98,0.1,254,25,17,14,14,12,11,8,2,0,372_20210404_062000_6
372,Grauspecht,2021-04-09T09:40:18Z,0.89,0.89,0.89,0.89,0.89,1,1,1,1,1,1,1,1,0,0,0.89,0.89,0.89,0.89,1,1,1,1,1,1,1,1,0,0,0.89,0.89,0.89,0.89,1,1,1,1,1,1,1,1,0,0,0.89,0.89,0.89,0.89,1,1,1,1,1,1,1,1,0,0,0.89,0.89,0.89,0.89,1,1,1,1,1,1,1,1,0,0,0.515,0.515,0.89,0.14,2,1,1,1,1,1,1,1,0,0,0.515,0.515,0.89,0.14,2,1,1,1,1,1,1,1,0,0,0.64,0.89,0.89,0.14,3,2,2,2,2,2,2,2,0,0,0.237037037037037,0.13,0.98,0.1,54,16,9,7,7,6,5,5,2,0,0.222792792792793,0.13,0.99,0.1,111,27,17,15,12,11,9,8,4,1,0.218297872340426,0.13,0.99,0.1,188,38,26,24,20,18,15,13,9,3,0.202017167381974,0.13,0.99,0.1,233,42,27,24,20,18,15,13,9,3,372_20210409_094000_18
372,Grauspecht,2021-04-13T17:40:27Z,0.42,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.28,0.28,0.42,0.14,2,1,1,1,0,0,0,0,0,0,0.22,0.14,0.42,0.1,3,1,1,1,0,0,0,0,0,0,0.22,0.14,0.42,0.1,3,1,1,1,0,0,0,0,0,0,0.16258064516129,0.13,0.8,0.1,62,5,5,4,3,2,2,2,0,0,0.150666666666667,0.12,0.8,0.1,135,8,7,6,4,3,3,2,0,0,0.152931937172775,0.12,0.97,0.1,191,13,10,8,6,5,5,4,1,0,0.151741293532338,0.12,0.97,0.1,201,13,10,8,6,5,5,4,1,0,372_20210413_174000_27
372,Grauspecht,2021-04-14T08:20:24Z,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,0,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,0,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,0,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0,0,0,0.194545454545455,0.17,0.75,0.1,11,1,1,1,1,1,1,0,0,0,0.187142857142857,0.165,0.75,0.1,14,1,1,1,1,1,1,0,0,0,0.169,0.14,0.75,0.1,20,1,1,1,1,1,1,0,0,0,0.169,0.14,0.75,0.1,20,1,1,1,1,1,1,0,0,0,0.142876712328767,0.13,0.75,0.1,73,3,2,2,2,1,1,0,0,0,0.14743119266055,0.13,0.8,0.1,109,5,4,4,3,2,2,1,0,0,0.148955223880597,0.125,0.8,0.1,134,7,6,5,4,3,3,2,0,0,0.152797619047619,0.12,0.97,0.1,168,11,9,7,5,4,4,3,1,0,372_20210414_082000_24
649,Grauspecht,2021-04-03T06:50:24Z,0.24,0.24,0.24,0.24,0.24,1,1,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.24,1,1,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.24,1,1,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.24,1,1,0,0,0,0,0,0,0,0,0.153333333333333,0.14,0.24,0.11,6,1,0,0,0,0,0,0,0,0,0.136363636363636,0.14,0.24,0.1,11,1,0,0,0,0,0,0,0,0,0.132307692307692,0.12,0.24,0.1,13,1,0,0,0,0,0,0,0,0,0.12875,0.12,0.24,0.1,16,1,0,0,0,0,0,0,0,0,0.125408163265306,0.12,0.27,0.1,98,2,0,0,0,0,0,0,0,0,0.123495145631068,0.12,0.27,0.1,206,2,0,0,0,0,0,0,0,0,0.123448275862069,0.12,0.27,0.1,348,3,0,0,0,0,0,0,0,0,0.123883847549909,0.12,0.58,0.1,551,6,1,1,1,0,0,0,0,0,649_20210403_065000_24
771,Grauspecht,2021-04-06T08:00:06Z,0.9,0.54,0.54,0.9,0.18,2,1,1,1,1,1,1,1,1,0,0.3325,0.155,0.9,0.12,4,1,1,1,1,1,1,1,1,0,0.3325,0.155,0.9,0.12,4,1,1,1,1,1,1,1,1,0,0.288,0.13,0.9,0.11,5,1,1,1,1,1,1,1,1,0,0.235833333333333,0.15,0.9,0.1,12,3,2,2,1,1,1,1,1,0,0.193181818181818,0.135,0.9,0.1,22,4,2,2,1,1,1,1,1,0,0.169393939393939,0.13,0.9,0.1,33,4,2,2,1,1,1,1,1,0,0.166571428571429,0.13,0.9,0.1,35,4,2,2,1,1,1,1,1,0,0.144479166666667,0.13,0.9,0.1,96,4,2,2,1,1,1,1,1,0,0.135548387096774,0.12,0.9,0.1,155,5,2,2,1,1,1,1,1,0,0.130585774058577,0.12,0.9,0.1,239,5,2,2,1,1,1,1,1,0,0.132379958246347,0.12,0.99,0.1,479,9,5,5,4,4,4,4,4,2,771_20210406_080000_6
