Plot_ID,german,timestamp,conf,int01_avgconf,int01_medconf,int01_maxconf,int01_minconf,int01_ndets10,int01_ndets20,int01_ndets30,int01_ndets40,int01_ndets50,int01_ndets60,int01_ndets70,int01_ndets80,int01_ndets90,int01_ndets99,int02_avgconf,int02_medconf,int02_maxconf,int02_minconf,int02_ndets10,int02_ndets20,int02_ndets30,int02_ndets40,int02_ndets50,int02_ndets60,int02_ndets70,int02_ndets80,int02_ndets90,int02_ndets99,int03_avgconf,int03_medconf,int03_maxconf,int03_minconf,int03_ndets10,int03_ndets20,int03_ndets30,int03_ndets40,int03_ndets50,int03_ndets60,int03_ndets70,int03_ndets80,int03_ndets90,int03_ndets99,int04_avgconf,int04_medconf,int04_maxconf,int04_minconf,int04_ndets10,int04_ndets20,int04_ndets30,int04_ndets40,int04_ndets50,int04_ndets60,int04_ndets70,int04_ndets80,int04_ndets90,int04_ndets99,int05_avgconf,int05_medconf,int05_maxconf,int05_minconf,int05_ndets10,int05_ndets20,int05_ndets30,int05_ndets40,int05_ndets50,int05_ndets60,int05_ndets70,int05_ndets80,int05_ndets90,int05_ndets99,int06_avgconf,int06_medconf,int06_maxconf,int06_minconf,int06_ndets10,int06_ndets20,int06_ndets30,int06_ndets40,int06_ndets50,int06_ndets60,int06_ndets70,int06_ndets80,int06_ndets90,int06_ndets99,int07_avgconf,int07_medconf,int07_maxconf,int07_minconf,int07_ndets10,int07_ndets20,int07_ndets30,int07_ndets40,int07_ndets50,int07_ndets60,int07_ndets70,int07_ndets80,int07_ndets90,int07_ndets99,int08_avgconf,int08_medconf,int08_maxconf,int08_minconf,int08_ndets10,int08_ndets20,int08_ndets30,int08_ndets40,int08_ndets50,int08_ndets60,int08_ndets70,int08_ndets80,int08_ndets90,int08_ndets99,int09_avgconf,int09_medconf,int09_maxconf,int09_minconf,int09_ndets10,int09_ndets20,int09_ndets30,int09_ndets40,int09_ndets50,int09_ndets60,int09_ndets70,int09_ndets80,int09_ndets90,int09_ndets99,int10_avgconf,int10_medconf,int10_maxconf,int10_minconf,int10_ndets10,int10_ndets20,int10_ndets30,int10_ndets40,int10_ndets50,int10_ndets60,int10_ndets70,int10_ndets80,int10_ndets90,int10_ndets99,int11_avgconf,int11_medconf,int11_maxconf,int11_minconf,int11_ndets10,int11_ndets20,int11_ndets30,int11_ndets40,int11_ndets50,int11_ndets60,int11_ndets70,int11_ndets80,int11_ndets90,int11_ndets99,int12_avgconf,int12_medconf,int12_maxconf,int12_minconf,int12_ndets10,int12_ndets20,int12_ndets30,int12_ndets40,int12_ndets50,int12_ndets60,int12_ndets70,int12_ndets80,int12_ndets90,int12_ndets99,detID
937,Grauspecht,2021-04-14T07:30:12Z,0.66,0.38,0.38,0.66,0.1,2,1,1,1,1,1,0,0,0,0,0.31,0.17,0.66,0.1,3,1,1,1,1,1,0,0,0,0,0.2625,0.145,0.66,0.1,4,1,1,1,1,1,0,0,0,0,0.238,0.14,0.66,0.1,5,1,1,1,1,1,0,0,0,0,0.238,0.14,0.66,0.1,5,1,1,1,1,1,0,0,0,0,0.2,0.13,0.66,0.1,10,2,1,1,1,1,0,0,0,0,0.18,0.145,0.66,0.1,18,3,1,1,1,1,0,0,0,0,0.177142857142857,0.135,0.66,0.1,28,4,2,2,2,1,0,0,0,0,0.146058823529412,0.13,0.66,0.1,170,15,5,3,3,2,0,0,0,0,0.146550218340611,0.13,0.97,0.1,229,21,6,4,4,3,1,1,1,0,0.144844290657439,0.13,0.97,0.1,289,24,6,4,4,3,1,1,1,0,0.143091482649842,0.13,0.97,0.1,317,26,6,4,4,3,1,1,1,0,937_20210414_073000_12
991,Grauspecht,2021-04-01T09:30:09Z,0.86,0.925,0.925,0.99,0.86,2,2,2,2,2,2,2,2,1,1,0.826666666666667,0.86,0.99,0.63,3,3,3,3,3,3,2,2,1,1,0.826666666666667,0.86,0.99,0.63,3,3,3,3,3,3,2,2,1,1,0.845,0.88,0.99,0.63,4,4,4,4,4,4,3,3,2,1,0.364166666666667,0.135,0.99,0.1,12,4,4,4,4,4,3,3,2,1,0.264,0.13,0.99,0.1,20,4,4,4,4,4,3,3,2,1,0.3076,0.13,0.99,0.1,25,6,6,6,6,6,5,5,4,3,0.358148148148148,0.13,0.99,0.1,27,8,8,8,8,8,7,7,6,5,0.157719298245614,0.11,0.99,0.1,171,11,8,8,8,8,7,7,6,5,0.157109375,0.12,0.99,0.1,256,17,12,11,11,11,9,9,8,7,0.161683501683502,0.12,0.99,0.1,297,21,15,14,14,14,12,12,10,9,0.153333333333333,0.12,0.99,0.1,375,22,15,14,14,14,12,12,10,9,991_20210401_093000_9
991,Grauspecht,2021-04-05T07:30:06Z,0.97,0.865,0.865,0.97,0.76,2,2,2,2,2,2,2,1,1,0,0.865,0.865,0.97,0.76,2,2,2,2,2,2,2,1,1,0,0.865,0.865,0.97,0.76,2,2,2,2,2,2,2,1,1,0,0.616666666666667,0.76,0.97,0.12,3,2,2,2,2,2,2,1,1,0,0.343636363636364,0.14,0.99,0.1,11,3,3,3,3,3,3,2,2,1,0.307692307692308,0.13,0.99,0.1,13,3,3,3,3,3,3,2,2,1,0.298571428571429,0.135,0.99,0.1,14,3,3,3,3,3,3,2,2,1,0.298571428571429,0.135,0.99,0.1,14,3,3,3,3,3,3,2,2,1,0.191090909090909,0.13,0.99,0.1,55,5,5,5,5,4,4,3,3,1,0.15748502994012,0.12,0.99,0.1,167,11,8,8,7,6,5,4,3,1,0.149954545454545,0.12,0.99,0.1,220,12,8,8,7,6,5,4,3,1,0.146322188449848,0.12,0.99,0.1,329,17,9,9,8,7,6,5,4,2,991_20210405_073000_6
991,Grauspecht,2021-04-05T07:30:09Z,0.76,0.865,0.865,0.97,0.76,2,2,2,2,2,2,2,1,1,0,0.865,0.865,0.97,0.76,2,2,2,2,2,2,2,1,1,0,0.616666666666667,0.76,0.97,0.12,3,2,2,2,2,2,2,1,1,0,0.616666666666667,0.76,0.97,0.12,3,2,2,2,2,2,2,1,1,0,0.343636363636364,0.14,0.99,0.1,11,3,3,3,3,3,3,2,2,1,0.307692307692308,0.13,0.99,0.1,13,3,3,3,3,3,3,2,2,1,0.298571428571429,0.135,0.99,0.1,14,3,3,3,3,3,3,2,2,1,0.298571428571429,0.135,0.99,0.1,14,3,3,3,3,3,3,2,2,1,0.191090909090909,0.13,0.99,0.1,55,5,5,5,5,4,4,3,3,1,0.15748502994012,0.12,0.99,0.1,167,11,8,8,7,6,5,4,3,1,0.149954545454545,0.12,0.99,0.1,220,12,8,8,7,6,5,4,3,1,0.146322188449848,0.12,0.99,0.1,329,17,9,9,8,7,6,5,4,2,991_20210405_073000_9
E12,Grauspecht,2021-04-02T06:00:06Z,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1,1,1,1,1,1,0.426666666666667,0.15,0.99,0.14,3,1,1,1,1,1,1,1,1,1,0.426666666666667,0.15,0.99,0.14,3,1,1,1,1,1,1,1,1,1,0.426666666666667,0.15,0.99,0.14,3,1,1,1,1,1,1,1,1,1,0.358888888888889,0.15,0.99,0.11,9,4,3,2,2,2,2,2,2,2,0.233888888888889,0.115,0.99,0.1,18,4,3,2,2,2,2,2,2,2,0.212272727272727,0.115,0.99,0.1,22,4,3,2,2,2,2,2,2,2,0.1925,0.11,0.99,0.1,28,4,3,2,2,2,2,2,2,2,0.135,0.12,0.99,0.1,216,8,3,2,2,2,2,2,2,2,0.134928229665072,0.12,0.99,0.1,418,16,7,4,4,3,3,3,3,2,0.135561139028476,0.12,0.99,0.1,597,25,11,7,6,4,3,3,3,2,0.134427710843373,0.12,0.99,0.1,664,26,11,7,6,4,3,3,3,2,E12_20210402_060000_6
E12,Grauspecht,2021-04-04T06:20:27Z,0.97,0.98,0.98,0.99,0.97,2,2,2,2,2,2,2,2,2,1,0.98,0.98,0.99,0.97,2,2,2,2,2,2,2,2,2,1,0.686666666666667,0.97,0.99,0.1,3,2,2,2,2,2,2,2,2,1,0.686666666666667,0.97,0.99,0.1,3,2,2,2,2,2,2,2,2,1,0.41,0.15,0.99,0.1,6,2,2,2,2,2,2,2,2,1,0.243571428571429,0.115,0.99,0.1,14,3,2,2,2,2,2,2,2,1,0.184642857142857,0.12,0.99,0.1,28,3,2,2,2,2,2,2,2,1,0.17625,0.12,0.99,0.1,32,3,2,2,2,2,2,2,2,1,0.136459016393443,0.12,0.99,0.1,305,20,6,4,3,2,2,2,2,1,0.134797570850202,0.12,0.99,0.1,494,28,9,6,4,2,2,2,2,1,0.13462962962963,0.12,0.99,0.1,594,31,12,7,5,3,3,3,3,1,0.134702308626975,0.12,0.99,0.1,823,39,15,9,7,5,5,5,5,3,E12_20210404_062000_27
E12,Grauspecht,2021-04-11T05:20:27Z,0.87,0.87,0.87,0.87,0.87,1,1,1,1,1,1,1,1,0,0,0.87,0.87,0.87,0.87,1,1,1,1,1,1,1,1,0,0,0.485,0.485,0.87,0.1,2,1,1,1,1,1,1,1,0,0,0.485,0.485,0.87,0.1,2,1,1,1,1,1,1,1,0,0,0.227142857142857,0.13,0.87,0.1,7,1,1,1,1,1,1,1,0,0,0.21375,0.125,0.87,0.1,8,1,1,1,1,1,1,1,0,0,0.1825,0.125,0.87,0.1,12,1,1,1,1,1,1,1,0,0,0.166470588235294,0.12,0.87,0.1,17,1,1,1,1,1,1,1,0,0,0.135494071146245,0.12,0.99,0.1,253,7,2,2,2,2,2,2,1,1,0.133458149779736,0.13,0.99,0.1,454,12,3,2,2,2,2,2,1,1,0.142160583941606,0.12,0.99,0.1,685,32,19,13,11,10,9,9,4,2,0.138283898305085,0.12,0.99,0.1,944,37,22,15,13,12,11,11,5,2,E12_20210411_052000_27
E15,Grauspecht,2021-04-12T11:20:06Z,0.99,0.99,0.99,0.99,0.99,2,2,2,2,2,2,2,2,2,2,0.99,0.99,0.99,0.99,2,2,2,2,2,2,2,2,2,2,0.99,0.99,0.99,0.99,2,2,2,2,2,2,2,2,2,2,0.99,0.99,0.99,0.99,2,2,2,2,2,2,2,2,2,2,0.693333333333333,0.99,0.99,0.1,3,2,2,2,2,2,2,2,2,2,0.462,0.13,0.99,0.1,5,2,2,2,2,2,2,2,2,2,0.358571428571429,0.1,0.99,0.1,7,2,2,2,2,2,2,2,2,2,0.287,0.115,0.99,0.1,10,2,2,2,2,2,2,2,2,2,0.130552147239264,0.12,0.99,0.1,163,4,2,2,2,2,2,2,2,2,0.134576802507837,0.12,0.99,0.1,319,8,5,5,5,5,5,5,5,3,0.131085106382979,0.12,0.99,0.1,470,9,5,5,5,5,5,5,5,3,0.130301724137931,0.12,0.99,0.1,696,14,8,7,6,6,6,6,6,3,E15_20210412_112000_6
E17,Grauspecht,2021-04-07T05:30:00Z,0.57,0.34,0.34,0.57,0.11,2,1,1,1,1,0,0,0,0,0,0.276666666666667,0.15,0.57,0.11,3,1,1,1,1,0,0,0,0,0,0.276666666666667,0.15,0.57,0.11,3,1,1,1,1,0,0,0,0,0,0.276666666666667,0.15,0.57,0.11,3,1,1,1,1,0,0,0,0,0,0.17,0.14,0.57,0.1,14,2,1,1,1,0,0,0,0,0,0.161052631578947,0.13,0.57,0.1,19,2,1,1,1,0,0,0,0,0,0.156190476190476,0.13,0.57,0.1,21,2,1,1,1,0,0,0,0,0,0.154545454545455,0.125,0.57,0.1,22,2,1,1,1,0,0,0,0,0,0.15,0.13,0.57,0.1,39,3,2,2,1,0,0,0,0,0,0.137387387387387,0.12,0.57,0.1,111,7,2,2,1,0,0,0,0,0,0.131891891891892,0.12,0.57,0.1,185,7,2,2,1,0,0,0,0,0,0.131535433070866,0.12,0.57,0.1,254,10,2,2,1,0,0,0,0,0,E17_20210407_053000_0
E2,Grauspecht,2021-04-02T10:10:06Z,0.33,0.33,0.33,0.33,0.33,1,1,1,0,0,0,0,0,0,0,0.215,0.215,0.33,0.1,2,1,1,0,0,0,0,0,0,0,0.215,0.215,0.33,0.1,2,1,1,0,0,0,0,0,0,0,0.215,0.215,0.33,0.1,2,1,1,0,0,0,0,0,0,0,0.155,0.125,0.33,0.1,6,1,1,0,0,0,0,0,0,0,0.157142857142857,0.13,0.33,0.1,7,1,1,0,0,0,0,0,0,0,0.155454545454545,0.13,0.33,0.1,11,2,1,0,0,0,0,0,0,0,0.155454545454545,0.13,0.33,0.1,11,2,1,0,0,0,0,0,0,0,0.141604938271605,0.13,0.72,0.1,81,4,2,1,1,1,1,0,0,0,0.148364779874214,0.13,0.96,0.1,159,12,6,4,3,3,2,1,1,0,0.14030534351145,0.12,0.96,0.1,262,13,7,4,3,3,2,1,1,0,0.139052287581699,0.13,0.96,0.1,306,14,7,4,3,3,2,1,1,0,E2_20210402_101000_6
E5,Grauspecht,2021-04-12T19:00:00Z,0.52,0.52,0.52,0.52,0.52,1,1,1,1,1,0,0,0,0,0,0.52,0.52,0.52,0.52,1,1,1,1,1,0,0,0,0,0,0.52,0.52,0.52,0.52,1,1,1,1,1,0,0,0,0,0,0.52,0.52,0.52,0.52,1,1,1,1,1,0,0,0,0,0,0.185,0.12,0.52,0.11,6,1,1,1,1,0,0,0,0,0,0.159,0.11,0.52,0.11,10,1,1,1,1,0,0,0,0,0,0.14,0.11,0.52,0.1,19,1,1,1,1,0,0,0,0,0,0.1348,0.11,0.52,0.1,25,1,1,1,1,0,0,0,0,0,0.125894736842105,0.12,0.52,0.1,190,8,2,1,1,0,0,0,0,0,0.130524934383202,0.12,0.82,0.1,381,15,5,3,2,1,1,1,0,0,0.127751124437781,0.12,0.82,0.1,667,19,5,3,2,1,1,1,0,0,0.12762962962963,0.12,0.82,0.1,810,22,6,3,2,1,1,1,0,0,E5_20210412_190000_0
E8,Grauspecht,2021-04-10T18:10:18Z,0.11,0.12,0.12,0.13,0.11,2,0,0,0,0,0,0,0,0,0,0.12,0.12,0.13,0.11,2,0,0,0,0,0,0,0,0,0,0.113333333333333,0.11,0.13,0.1,3,0,0,0,0,0,0,0,0,0,0.11,0.105,0.13,0.1,4,0,0,0,0,0,0,0,0,0,0.10875,0.11,0.13,0.1,8,0,0,0,0,0,0,0,0,0,0.108,0.11,0.13,0.1,10,0,0,0,0,0,0,0,0,0,0.108,0.11,0.13,0.1,10,0,0,0,0,0,0,0,0,0,0.108,0.11,0.13,0.1,10,0,0,0,0,0,0,0,0,0,0.123982300884956,0.12,0.27,0.1,113,2,0,0,0,0,0,0,0,0,0.126304347826087,0.12,0.27,0.1,276,7,0,0,0,0,0,0,0,0,0.125874673629243,0.12,0.27,0.1,383,8,0,0,0,0,0,0,0,0,0.12704280155642,0.12,0.27,0.1,514,13,0,0,0,0,0,0,0,0,E8_20210410_181000_18
