opti_mods
conf+int02_ndets50
conf+int03_avgconf
conf+int03_maxconf
conf+int05_ndets20
conf+int07_maxconf
conf+int08_avgconf
conf+int08_medconf
conf+int09_avgconf
conf+int09_maxconf
conf+int09_ndets30
conf+int11_avgconf
conf+int11_maxconf
conf+int12_ndets40
int01_avgconf+int03_maxconf
int01_avgconf+int05_maxconf
int01_maxconf+int09_maxconf
int01_maxconf+int10_avgconf
int01_maxconf+int12_ndets20
int01_minconf+int04_ndets90
int01_ndets30+int03_medconf
int01_ndets90+int09_minconf
int02_maxconf+int12_ndets10
int02_minconf+int09_avgconf
int02_ndets20+int12_ndets20
int03_maxconf+int11_ndets20
int04_ndets20+int09_maxconf
int04_ndets80+int05_ndets10
int05_maxconf+int12_maxconf
int05_minconf+int06_maxconf
int05_ndets80+int10_ndets90
int05_ndets90+int06_ndets20
int05_ndets90+int11_minconf
int06_avgconf+int09_ndets70
int06_ndets30+int08_avgconf
int08_maxconf+int12_avgconf
int08_ndets10+int10_medconf
int08_ndets40+int09_ndets90
int09_avgconf+int11_ndets40
int09_ndets60+int12_ndets40
int10_avgconf+int10_ndets80
int11_medconf+int11_maxconf
